"{'C': 0.0, 'B': 10, 'learning_rate': 0.01, 'comm_round': 1, 'train_acc': 0.9686, 'test_acc': 0.9662, 'train_loss': 0.0949, 'test_loss': 0.1068}"
"{'C': 0.0, 'B': 10, 'learning_rate': 0.01, 'comm_round': 2, 'train_acc': 0.9265, 'test_acc': 0.9235, 'train_loss': 0.2267, 'test_loss': 0.2482}"
"{'C': 0.0, 'B': 10, 'learning_rate': 0.01, 'comm_round': 3, 'train_acc': 0.9271, 'test_acc': 0.9269, 'train_loss': 0.2293, 'test_loss': 0.243}"
"{'C': 0.0, 'B': 10, 'learning_rate': 0.01, 'comm_round': 4, 'train_acc': 0.9618, 'test_acc': 0.9567, 'train_loss': 0.1129, 'test_loss': 0.131}"
"{'C': 0.0, 'B': 10, 'learning_rate': 0.01, 'comm_round': 5, 'train_acc': 0.9666, 'test_acc': 0.9607, 'train_loss': 0.1041, 'test_loss': 0.124}"
"{'C': 0.0, 'B': 10, 'learning_rate': 0.01, 'comm_round': 6, 'train_acc': 0.9463, 'test_acc': 0.9446, 'train_loss': 0.1631, 'test_loss': 0.1784}"
"{'C': 0.0, 'B': 10, 'learning_rate': 0.01, 'comm_round': 7, 'train_acc': 0.9447, 'test_acc': 0.9395, 'train_loss': 0.1808, 'test_loss': 0.2039}"
"{'C': 0.0, 'B': 10, 'learning_rate': 0.01, 'comm_round': 8, 'train_acc': 0.9577, 'test_acc': 0.9549, 'train_loss': 0.1319, 'test_loss': 0.1471}"
"{'C': 0.0, 'B': 10, 'learning_rate': 0.01, 'comm_round': 9, 'train_acc': 0.9556, 'test_acc': 0.9542, 'train_loss': 0.1393, 'test_loss': 0.1538}"
"{'C': 0.0, 'B': 10, 'learning_rate': 0.01, 'comm_round': 10, 'train_acc': 0.9668, 'test_acc': 0.9636, 'train_loss': 0.1026, 'test_loss': 0.1147}"
"{'C': 0.0, 'B': 10, 'learning_rate': 0.01, 'comm_round': 11, 'train_acc': 0.9649, 'test_acc': 0.9619, 'train_loss': 0.1086, 'test_loss': 0.1203}"
"{'C': 0.0, 'B': 10, 'learning_rate': 0.01, 'comm_round': 12, 'train_acc': 0.9636, 'test_acc': 0.9592, 'train_loss': 0.1152, 'test_loss': 0.1281}"
"{'C': 0.0, 'B': 10, 'learning_rate': 0.01, 'comm_round': 13, 'train_acc': 0.9694, 'test_acc': 0.9647, 'train_loss': 0.0944, 'test_loss': 0.111}"
