"{'C': 0.1, 'B': 10, 'learning_rate': 0.1, 'comm_round': 1, 'train_acc': 0.8304, 'test_acc': 0.8349, 'train_loss': 0.7483, 'test_loss': 0.7324, 'val_acc': 0.8298, 'val_loss': 0.7466}"
"{'C': 0.1, 'B': 10, 'learning_rate': 0.1, 'comm_round': 2, 'train_acc': 0.8606, 'test_acc': 0.8651, 'train_loss': 0.4973, 'test_loss': 0.4816, 'val_acc': 0.8569, 'val_loss': 0.4951}"
"{'C': 0.1, 'B': 10, 'learning_rate': 0.1, 'comm_round': 3, 'train_acc': 0.8842, 'test_acc': 0.8904, 'train_loss': 0.4091, 'test_loss': 0.3939, 'val_acc': 0.8824, 'val_loss': 0.4065}"
"{'C': 0.1, 'B': 10, 'learning_rate': 0.1, 'comm_round': 4, 'train_acc': 0.9013, 'test_acc': 0.9062, 'train_loss': 0.3506, 'test_loss': 0.3395, 'val_acc': 0.9004, 'val_loss': 0.3457}"
"{'C': 0.1, 'B': 10, 'learning_rate': 0.1, 'comm_round': 5, 'train_acc': 0.9034, 'test_acc': 0.9086, 'train_loss': 0.3233, 'test_loss': 0.309, 'val_acc': 0.9044, 'val_loss': 0.3155}"
"{'C': 0.1, 'B': 10, 'learning_rate': 0.1, 'comm_round': 6, 'train_acc': 0.9112, 'test_acc': 0.9147, 'train_loss': 0.3014, 'test_loss': 0.2883, 'val_acc': 0.9124, 'val_loss': 0.2942}"
"{'C': 0.1, 'B': 10, 'learning_rate': 0.1, 'comm_round': 7, 'train_acc': 0.9171, 'test_acc': 0.9196, 'train_loss': 0.2842, 'test_loss': 0.2756, 'val_acc': 0.918, 'val_loss': 0.2792}"
"{'C': 0.1, 'B': 10, 'learning_rate': 0.1, 'comm_round': 8, 'train_acc': 0.918, 'test_acc': 0.9182, 'train_loss': 0.2713, 'test_loss': 0.2613, 'val_acc': 0.9192, 'val_loss': 0.2661}"
"{'C': 0.1, 'B': 10, 'learning_rate': 0.1, 'comm_round': 9, 'train_acc': 0.9278, 'test_acc': 0.9283, 'train_loss': 0.2493, 'test_loss': 0.2389, 'val_acc': 0.9275, 'val_loss': 0.2459}"
"{'C': 0.1, 'B': 10, 'learning_rate': 0.1, 'comm_round': 10, 'train_acc': 0.931, 'test_acc': 0.9331, 'train_loss': 0.2347, 'test_loss': 0.2236, 'val_acc': 0.9307, 'val_loss': 0.2312}"
"{'C': 0.1, 'B': 10, 'learning_rate': 0.1, 'comm_round': 11, 'train_acc': 0.9311, 'test_acc': 0.9328, 'train_loss': 0.2334, 'test_loss': 0.2291, 'val_acc': 0.9308, 'val_loss': 0.2327}"
"{'C': 0.1, 'B': 10, 'learning_rate': 0.1, 'comm_round': 12, 'train_acc': 0.9365, 'test_acc': 0.9385, 'train_loss': 0.2132, 'test_loss': 0.2046, 'val_acc': 0.9347, 'val_loss': 0.2131}"
"{'C': 0.1, 'B': 10, 'learning_rate': 0.1, 'comm_round': 13, 'train_acc': 0.9385, 'test_acc': 0.9411, 'train_loss': 0.2072, 'test_loss': 0.2003, 'val_acc': 0.9392, 'val_loss': 0.2082}"
"{'C': 0.1, 'B': 10, 'learning_rate': 0.1, 'comm_round': 14, 'train_acc': 0.9395, 'test_acc': 0.9395, 'train_loss': 0.2023, 'test_loss': 0.198, 'val_acc': 0.9393, 'val_loss': 0.205}"
"{'C': 0.1, 'B': 10, 'learning_rate': 0.1, 'comm_round': 15, 'train_acc': 0.9414, 'test_acc': 0.9425, 'train_loss': 0.1942, 'test_loss': 0.1884, 'val_acc': 0.9403, 'val_loss': 0.1953}"
"{'C': 0.1, 'B': 10, 'learning_rate': 0.1, 'comm_round': 16, 'train_acc': 0.9436, 'test_acc': 0.9433, 'train_loss': 0.1888, 'test_loss': 0.1849, 'val_acc': 0.9424, 'val_loss': 0.1921}"
"{'C': 0.1, 'B': 10, 'learning_rate': 0.1, 'comm_round': 17, 'train_acc': 0.9467, 'test_acc': 0.948, 'train_loss': 0.1801, 'test_loss': 0.1763, 'val_acc': 0.9439, 'val_loss': 0.1835}"
"{'C': 0.1, 'B': 10, 'learning_rate': 0.1, 'comm_round': 18, 'train_acc': 0.9489, 'test_acc': 0.9492, 'train_loss': 0.1749, 'test_loss': 0.1716, 'val_acc': 0.9453, 'val_loss': 0.1801}"
"{'C': 0.1, 'B': 10, 'learning_rate': 0.1, 'comm_round': 19, 'train_acc': 0.949, 'test_acc': 0.9478, 'train_loss': 0.1713, 'test_loss': 0.1735, 'val_acc': 0.9453, 'val_loss': 0.1772}"
"{'C': 0.1, 'B': 10, 'learning_rate': 0.1, 'comm_round': 20, 'train_acc': 0.9503, 'test_acc': 0.9499, 'train_loss': 0.1641, 'test_loss': 0.1656, 'val_acc': 0.949, 'val_loss': 0.1714}"
"{'C': 0.1, 'B': 10, 'learning_rate': 0.1, 'comm_round': 21, 'train_acc': 0.9527, 'test_acc': 0.952, 'train_loss': 0.1577, 'test_loss': 0.1597, 'val_acc': 0.9493, 'val_loss': 0.164}"
