"{'C': 0.0, 'B': 10, 'learning_rate': 0.215, 'comm_round': 1, 'train_acc': 0.9189, 'test_acc': 0.9182, 'train_loss': 0.3598, 'test_loss': 0.344}"
"{'C': 0.0, 'B': 10, 'learning_rate': 0.215, 'comm_round': 2, 'train_acc': 0.9447, 'test_acc': 0.951, 'train_loss': 0.2574, 'test_loss': 0.2189}"
"{'C': 0.0, 'B': 10, 'learning_rate': 0.215, 'comm_round': 3, 'train_acc': 0.9495, 'test_acc': 0.9546, 'train_loss': 0.2117, 'test_loss': 0.1825}"
"{'C': 0.0, 'B': 10, 'learning_rate': 0.215, 'comm_round': 4, 'train_acc': 0.9568, 'test_acc': 0.9603, 'train_loss': 0.2011, 'test_loss': 0.1766}"
"{'C': 0.0, 'B': 10, 'learning_rate': 0.215, 'comm_round': 5, 'train_acc': 0.9618, 'test_acc': 0.965, 'train_loss': 0.1575, 'test_loss': 0.1309}"
"{'C': 0.0, 'B': 10, 'learning_rate': 0.215, 'comm_round': 6, 'train_acc': 0.9665, 'test_acc': 0.9684, 'train_loss': 0.1392, 'test_loss': 0.1259}"
"{'C': 0.0, 'B': 10, 'learning_rate': 0.215, 'comm_round': 7, 'train_acc': 0.9654, 'test_acc': 0.9685, 'train_loss': 0.1687, 'test_loss': 0.1392}"
"{'C': 0.0, 'B': 10, 'learning_rate': 0.215, 'comm_round': 8, 'train_acc': 0.9641, 'test_acc': 0.9662, 'train_loss': 0.1857, 'test_loss': 0.1665}"
"{'C': 0.0, 'B': 10, 'learning_rate': 0.215, 'comm_round': 9, 'train_acc': 0.9682, 'test_acc': 0.9689, 'train_loss': 0.1609, 'test_loss': 0.1532}"
"{'C': 0.0, 'B': 10, 'learning_rate': 0.215, 'comm_round': 10, 'train_acc': 0.9688, 'test_acc': 0.9706, 'train_loss': 0.1542, 'test_loss': 0.1379}"
"{'C': 0.0, 'B': 10, 'learning_rate': 0.215, 'comm_round': 11, 'train_acc': 0.9718, 'test_acc': 0.9715, 'train_loss': 0.1251, 'test_loss': 0.1212}"
