"{'C': 0.0, 'B': 600, 'learning_rate': 0.215, 'comm_round': 1, 'train_acc': 0.7239, 'test_acc': 0.7417, 'train_loss': 1.5518, 'test_loss': 1.5349}"
"{'C': 0.0, 'B': 600, 'learning_rate': 0.215, 'comm_round': 2, 'train_acc': 0.7077, 'test_acc': 0.7216, 'train_loss': 1.0407, 'test_loss': 1.0174}"
"{'C': 0.0, 'B': 600, 'learning_rate': 0.215, 'comm_round': 3, 'train_acc': 0.7702, 'test_acc': 0.7811, 'train_loss': 0.7744, 'test_loss': 0.745}"
"{'C': 0.0, 'B': 600, 'learning_rate': 0.215, 'comm_round': 4, 'train_acc': 0.7574, 'test_acc': 0.767, 'train_loss': 0.6818, 'test_loss': 0.6696}"
"{'C': 0.0, 'B': 600, 'learning_rate': 0.215, 'comm_round': 5, 'train_acc': 0.8984, 'test_acc': 0.9049, 'train_loss': 0.359, 'test_loss': 0.3433}"
"{'C': 0.0, 'B': 600, 'learning_rate': 0.215, 'comm_round': 6, 'train_acc': 0.8741, 'test_acc': 0.8792, 'train_loss': 0.4331, 'test_loss': 0.4185}"
"{'C': 0.0, 'B': 600, 'learning_rate': 0.215, 'comm_round': 7, 'train_acc': 0.9133, 'test_acc': 0.9179, 'train_loss': 0.2993, 'test_loss': 0.2856}"
"{'C': 0.0, 'B': 600, 'learning_rate': 0.215, 'comm_round': 8, 'train_acc': 0.889, 'test_acc': 0.8974, 'train_loss': 0.327, 'test_loss': 0.305}"
"{'C': 0.0, 'B': 600, 'learning_rate': 0.215, 'comm_round': 9, 'train_acc': 0.9202, 'test_acc': 0.9237, 'train_loss': 0.2667, 'test_loss': 0.2526}"
"{'C': 0.0, 'B': 600, 'learning_rate': 0.215, 'comm_round': 10, 'train_acc': 0.932, 'test_acc': 0.9322, 'train_loss': 0.2321, 'test_loss': 0.2198}"
"{'C': 0.0, 'B': 600, 'learning_rate': 0.215, 'comm_round': 11, 'train_acc': 0.931, 'test_acc': 0.9336, 'train_loss': 0.2249, 'test_loss': 0.2154}"
"{'C': 0.0, 'B': 600, 'learning_rate': 0.215, 'comm_round': 12, 'train_acc': 0.9277, 'test_acc': 0.931, 'train_loss': 0.2339, 'test_loss': 0.2251}"
"{'C': 0.0, 'B': 600, 'learning_rate': 0.215, 'comm_round': 13, 'train_acc': 0.928, 'test_acc': 0.9318, 'train_loss': 0.2264, 'test_loss': 0.217}"
"{'C': 0.0, 'B': 600, 'learning_rate': 0.215, 'comm_round': 14, 'train_acc': 0.9346, 'test_acc': 0.9376, 'train_loss': 0.2101, 'test_loss': 0.199}"
"{'C': 0.0, 'B': 600, 'learning_rate': 0.215, 'comm_round': 15, 'train_acc': 0.9399, 'test_acc': 0.9425, 'train_loss': 0.1937, 'test_loss': 0.1828}"
"{'C': 0.0, 'B': 600, 'learning_rate': 0.215, 'comm_round': 16, 'train_acc': 0.9402, 'test_acc': 0.943, 'train_loss': 0.1907, 'test_loss': 0.1803}"
"{'C': 0.0, 'B': 600, 'learning_rate': 0.215, 'comm_round': 17, 'train_acc': 0.9445, 'test_acc': 0.9455, 'train_loss': 0.1819, 'test_loss': 0.1713}"
"{'C': 0.0, 'B': 600, 'learning_rate': 0.215, 'comm_round': 18, 'train_acc': 0.9423, 'test_acc': 0.9464, 'train_loss': 0.1856, 'test_loss': 0.1731}"
"{'C': 0.0, 'B': 600, 'learning_rate': 0.215, 'comm_round': 19, 'train_acc': 0.937, 'test_acc': 0.9377, 'train_loss': 0.211, 'test_loss': 0.2027}"
"{'C': 0.0, 'B': 600, 'learning_rate': 0.215, 'comm_round': 20, 'train_acc': 0.9509, 'test_acc': 0.9513, 'train_loss': 0.1615, 'test_loss': 0.1523}"
"{'C': 0.0, 'B': 600, 'learning_rate': 0.215, 'comm_round': 21, 'train_acc': 0.9534, 'test_acc': 0.9553, 'train_loss': 0.1534, 'test_loss': 0.1454}"
"{'C': 0.0, 'B': 600, 'learning_rate': 0.215, 'comm_round': 22, 'train_acc': 0.9556, 'test_acc': 0.9568, 'train_loss': 0.1477, 'test_loss': 0.1415}"
"{'C': 0.0, 'B': 600, 'learning_rate': 0.215, 'comm_round': 23, 'train_acc': 0.9552, 'test_acc': 0.9585, 'train_loss': 0.1448, 'test_loss': 0.1361}"
"{'C': 0.0, 'B': 600, 'learning_rate': 0.215, 'comm_round': 24, 'train_acc': 0.9589, 'test_acc': 0.9592, 'train_loss': 0.1351, 'test_loss': 0.1281}"
"{'C': 0.0, 'B': 600, 'learning_rate': 0.215, 'comm_round': 25, 'train_acc': 0.9608, 'test_acc': 0.9596, 'train_loss': 0.1297, 'test_loss': 0.1258}"
"{'C': 0.0, 'B': 600, 'learning_rate': 0.215, 'comm_round': 26, 'train_acc': 0.9606, 'test_acc': 0.9613, 'train_loss': 0.127, 'test_loss': 0.1221}"
"{'C': 0.0, 'B': 600, 'learning_rate': 0.215, 'comm_round': 27, 'train_acc': 0.7754, 'test_acc': 0.7815, 'train_loss': 0.736, 'test_loss': 0.7028}"
"{'C': 0.0, 'B': 600, 'learning_rate': 0.215, 'comm_round': 28, 'train_acc': 0.9552, 'test_acc': 0.9568, 'train_loss': 0.1503, 'test_loss': 0.1392}"
"{'C': 0.0, 'B': 600, 'learning_rate': 0.215, 'comm_round': 29, 'train_acc': 0.9607, 'test_acc': 0.9617, 'train_loss': 0.1303, 'test_loss': 0.1212}"
"{'C': 0.0, 'B': 600, 'learning_rate': 0.215, 'comm_round': 30, 'train_acc': 0.961, 'test_acc': 0.9648, 'train_loss': 0.1288, 'test_loss': 0.1159}"
"{'C': 0.0, 'B': 600, 'learning_rate': 0.215, 'comm_round': 31, 'train_acc': 0.964, 'test_acc': 0.9651, 'train_loss': 0.1207, 'test_loss': 0.111}"
"{'C': 0.0, 'B': 600, 'learning_rate': 0.215, 'comm_round': 32, 'train_acc': 0.9644, 'test_acc': 0.9675, 'train_loss': 0.122, 'test_loss': 0.1118}"
"{'C': 0.0, 'B': 600, 'learning_rate': 0.215, 'comm_round': 33, 'train_acc': 0.9644, 'test_acc': 0.9664, 'train_loss': 0.1152, 'test_loss': 0.1028}"
"{'C': 0.0, 'B': 600, 'learning_rate': 0.215, 'comm_round': 34, 'train_acc': 0.9667, 'test_acc': 0.9692, 'train_loss': 0.1097, 'test_loss': 0.0993}"
"{'C': 0.0, 'B': 600, 'learning_rate': 0.215, 'comm_round': 35, 'train_acc': 0.967, 'test_acc': 0.9667, 'train_loss': 0.1086, 'test_loss': 0.1036}"
"{'C': 0.0, 'B': 600, 'learning_rate': 0.215, 'comm_round': 36, 'train_acc': 0.9668, 'test_acc': 0.9668, 'train_loss': 0.108, 'test_loss': 0.1016}"
"{'C': 0.0, 'B': 600, 'learning_rate': 0.215, 'comm_round': 37, 'train_acc': 0.9681, 'test_acc': 0.9686, 'train_loss': 0.1043, 'test_loss': 0.0956}"
"{'C': 0.0, 'B': 600, 'learning_rate': 0.215, 'comm_round': 38, 'train_acc': 0.9686, 'test_acc': 0.9696, 'train_loss': 0.106, 'test_loss': 0.0961}"
"{'C': 0.0, 'B': 600, 'learning_rate': 0.215, 'comm_round': 39, 'train_acc': 0.9694, 'test_acc': 0.9713, 'train_loss': 0.104, 'test_loss': 0.0932}"
"{'C': 0.0, 'B': 600, 'learning_rate': 0.215, 'comm_round': 40, 'train_acc': 0.9705, 'test_acc': 0.9725, 'train_loss': 0.0983, 'test_loss': 0.0918}"
"{'C': 0.0, 'B': 600, 'learning_rate': 0.215, 'comm_round': 41, 'train_acc': 0.9696, 'test_acc': 0.9715, 'train_loss': 0.1002, 'test_loss': 0.0904}"
"{'C': 0.0, 'B': 600, 'learning_rate': 0.215, 'comm_round': 42, 'train_acc': 0.9708, 'test_acc': 0.9721, 'train_loss': 0.0991, 'test_loss': 0.0891}"
"{'C': 0.0, 'B': 600, 'learning_rate': 0.215, 'comm_round': 43, 'train_acc': 0.971, 'test_acc': 0.9717, 'train_loss': 0.0958, 'test_loss': 0.0883}"
"{'C': 0.0, 'B': 600, 'learning_rate': 0.215, 'comm_round': 44, 'train_acc': 0.9717, 'test_acc': 0.9717, 'train_loss': 0.0935, 'test_loss': 0.0867}"
"{'C': 0.0, 'B': 600, 'learning_rate': 0.215, 'comm_round': 45, 'train_acc': 0.9737, 'test_acc': 0.9736, 'train_loss': 0.0895, 'test_loss': 0.0844}"
"{'C': 0.0, 'B': 600, 'learning_rate': 0.215, 'comm_round': 46, 'train_acc': 0.9726, 'test_acc': 0.9726, 'train_loss': 0.0934, 'test_loss': 0.0889}"
"{'C': 0.0, 'B': 600, 'learning_rate': 0.215, 'comm_round': 47, 'train_acc': 0.9706, 'test_acc': 0.969, 'train_loss': 0.1026, 'test_loss': 0.0978}"
"{'C': 0.0, 'B': 600, 'learning_rate': 0.215, 'comm_round': 48, 'train_acc': 0.9713, 'test_acc': 0.973, 'train_loss': 0.0939, 'test_loss': 0.0821}"
"{'C': 0.0, 'B': 600, 'learning_rate': 0.215, 'comm_round': 49, 'train_acc': 0.9733, 'test_acc': 0.9751, 'train_loss': 0.0881, 'test_loss': 0.0779}"
"{'C': 0.0, 'B': 600, 'learning_rate': 0.215, 'comm_round': 50, 'train_acc': 0.9728, 'test_acc': 0.9749, 'train_loss': 0.0912, 'test_loss': 0.0821}"
"{'C': 0.0, 'B': 600, 'learning_rate': 0.215, 'comm_round': 51, 'train_acc': 0.9739, 'test_acc': 0.9746, 'train_loss': 0.0881, 'test_loss': 0.0782}"
"{'C': 0.0, 'B': 600, 'learning_rate': 0.215, 'comm_round': 52, 'train_acc': 0.9739, 'test_acc': 0.9746, 'train_loss': 0.0856, 'test_loss': 0.0744}"
"{'C': 0.0, 'B': 600, 'learning_rate': 0.215, 'comm_round': 53, 'train_acc': 0.9755, 'test_acc': 0.9767, 'train_loss': 0.0807, 'test_loss': 0.0711}"
"{'C': 0.0, 'B': 600, 'learning_rate': 0.215, 'comm_round': 54, 'train_acc': 0.9748, 'test_acc': 0.9754, 'train_loss': 0.0837, 'test_loss': 0.0758}"
"{'C': 0.0, 'B': 600, 'learning_rate': 0.215, 'comm_round': 55, 'train_acc': 0.9743, 'test_acc': 0.9743, 'train_loss': 0.0868, 'test_loss': 0.0795}"
"{'C': 0.0, 'B': 600, 'learning_rate': 0.215, 'comm_round': 56, 'train_acc': 0.9759, 'test_acc': 0.9753, 'train_loss': 0.0812, 'test_loss': 0.0747}"
"{'C': 0.0, 'B': 600, 'learning_rate': 0.215, 'comm_round': 57, 'train_acc': 0.9771, 'test_acc': 0.9767, 'train_loss': 0.0798, 'test_loss': 0.0732}"
"{'C': 0.0, 'B': 600, 'learning_rate': 0.215, 'comm_round': 58, 'train_acc': 0.973, 'test_acc': 0.971, 'train_loss': 0.0872, 'test_loss': 0.0842}"
"{'C': 0.0, 'B': 600, 'learning_rate': 0.215, 'comm_round': 59, 'train_acc': 0.9774, 'test_acc': 0.9779, 'train_loss': 0.0753, 'test_loss': 0.07}"
