"{'C': 0.1, 'B': 600, 'learning_rate': 0.215, 'comm_round': 1, 'train_acc': 0.1908, 'test_acc': 0.1898, 'train_loss': 2.717, 'test_loss': 2.7243}"
"{'C': 0.1, 'B': 600, 'learning_rate': 0.215, 'comm_round': 2, 'train_acc': 0.0987, 'test_acc': 0.098, 'train_loss': 3.2374, 'test_loss': 3.2606}"
"{'C': 0.1, 'B': 600, 'learning_rate': 0.215, 'comm_round': 3, 'train_acc': 0.0986, 'test_acc': 0.0958, 'train_loss': 2.7124, 'test_loss': 2.7245}"
"{'C': 0.1, 'B': 600, 'learning_rate': 0.215, 'comm_round': 4, 'train_acc': 0.1273, 'test_acc': 0.1311, 'train_loss': 2.7356, 'test_loss': 2.7278}"
"{'C': 0.1, 'B': 600, 'learning_rate': 0.215, 'comm_round': 5, 'train_acc': 0.2126, 'test_acc': 0.2169, 'train_loss': 2.3728, 'test_loss': 2.3692}"
"{'C': 0.1, 'B': 600, 'learning_rate': 0.215, 'comm_round': 6, 'train_acc': 0.1906, 'test_acc': 0.1942, 'train_loss': 2.453, 'test_loss': 2.4536}"
"{'C': 0.1, 'B': 600, 'learning_rate': 0.215, 'comm_round': 7, 'train_acc': 0.306, 'test_acc': 0.3068, 'train_loss': 1.914, 'test_loss': 1.9009}"
"{'C': 0.1, 'B': 600, 'learning_rate': 0.215, 'comm_round': 8, 'train_acc': 0.2144, 'test_acc': 0.215, 'train_loss': 1.9913, 'test_loss': 1.9903}"
"{'C': 0.1, 'B': 600, 'learning_rate': 0.215, 'comm_round': 9, 'train_acc': 0.4162, 'test_acc': 0.416, 'train_loss': 1.8826, 'test_loss': 1.8745}"
"{'C': 0.1, 'B': 600, 'learning_rate': 0.215, 'comm_round': 10, 'train_acc': 0.392, 'test_acc': 0.4096, 'train_loss': 1.7958, 'test_loss': 1.7769}"
"{'C': 0.1, 'B': 600, 'learning_rate': 0.215, 'comm_round': 11, 'train_acc': 0.4467, 'test_acc': 0.4516, 'train_loss': 1.7009, 'test_loss': 1.6933}"
"{'C': 0.1, 'B': 600, 'learning_rate': 0.215, 'comm_round': 12, 'train_acc': 0.614, 'test_acc': 0.6216, 'train_loss': 1.3114, 'test_loss': 1.2912}"
"{'C': 0.1, 'B': 600, 'learning_rate': 0.215, 'comm_round': 13, 'train_acc': 0.4518, 'test_acc': 0.4564, 'train_loss': 1.5077, 'test_loss': 1.487}"
"{'C': 0.1, 'B': 600, 'learning_rate': 0.215, 'comm_round': 14, 'train_acc': 0.5917, 'test_acc': 0.6023, 'train_loss': 1.1888, 'test_loss': 1.1632}"
"{'C': 0.1, 'B': 600, 'learning_rate': 0.215, 'comm_round': 15, 'train_acc': 0.3767, 'test_acc': 0.3806, 'train_loss': 1.9373, 'test_loss': 1.9398}"
"{'C': 0.1, 'B': 600, 'learning_rate': 0.215, 'comm_round': 16, 'train_acc': 0.5327, 'test_acc': 0.5389, 'train_loss': 1.3501, 'test_loss': 1.3298}"
"{'C': 0.1, 'B': 600, 'learning_rate': 0.215, 'comm_round': 17, 'train_acc': 0.6216, 'test_acc': 0.6241, 'train_loss': 1.1476, 'test_loss': 1.1279}"
"{'C': 0.1, 'B': 600, 'learning_rate': 0.215, 'comm_round': 18, 'train_acc': 0.473, 'test_acc': 0.4749, 'train_loss': 1.7677, 'test_loss': 1.7781}"
"{'C': 0.1, 'B': 600, 'learning_rate': 0.215, 'comm_round': 19, 'train_acc': 0.6036, 'test_acc': 0.6164, 'train_loss': 1.1895, 'test_loss': 1.1613}"
"{'C': 0.1, 'B': 600, 'learning_rate': 0.215, 'comm_round': 20, 'train_acc': 0.5897, 'test_acc': 0.5947, 'train_loss': 1.1567, 'test_loss': 1.1508}"
"{'C': 0.1, 'B': 600, 'learning_rate': 0.215, 'comm_round': 21, 'train_acc': 0.7487, 'test_acc': 0.7536, 'train_loss': 0.7965, 'test_loss': 0.775}"
"{'C': 0.1, 'B': 600, 'learning_rate': 0.215, 'comm_round': 22, 'train_acc': 0.6064, 'test_acc': 0.6039, 'train_loss': 1.2244, 'test_loss': 1.2333}"
"{'C': 0.1, 'B': 600, 'learning_rate': 0.215, 'comm_round': 23, 'train_acc': 0.6819, 'test_acc': 0.6855, 'train_loss': 0.9956, 'test_loss': 0.9932}"
"{'C': 0.1, 'B': 600, 'learning_rate': 0.215, 'comm_round': 24, 'train_acc': 0.8031, 'test_acc': 0.8078, 'train_loss': 0.7003, 'test_loss': 0.687}"
"{'C': 0.1, 'B': 600, 'learning_rate': 0.215, 'comm_round': 25, 'train_acc': 0.7255, 'test_acc': 0.7322, 'train_loss': 0.804, 'test_loss': 0.7902}"
"{'C': 0.1, 'B': 600, 'learning_rate': 0.215, 'comm_round': 26, 'train_acc': 0.6708, 'test_acc': 0.676, 'train_loss': 0.833, 'test_loss': 0.8124}"
"{'C': 0.1, 'B': 600, 'learning_rate': 0.215, 'comm_round': 27, 'train_acc': 0.7878, 'test_acc': 0.7966, 'train_loss': 0.6564, 'test_loss': 0.6344}"
"{'C': 0.1, 'B': 600, 'learning_rate': 0.215, 'comm_round': 28, 'train_acc': 0.8032, 'test_acc': 0.8161, 'train_loss': 0.5935, 'test_loss': 0.5715}"
"{'C': 0.1, 'B': 600, 'learning_rate': 0.215, 'comm_round': 29, 'train_acc': 0.8088, 'test_acc': 0.819, 'train_loss': 0.5759, 'test_loss': 0.5561}"
"{'C': 0.1, 'B': 600, 'learning_rate': 0.215, 'comm_round': 30, 'train_acc': 0.8745, 'test_acc': 0.8794, 'train_loss': 0.4401, 'test_loss': 0.4221}"
"{'C': 0.1, 'B': 600, 'learning_rate': 0.215, 'comm_round': 31, 'train_acc': 0.8418, 'test_acc': 0.8433, 'train_loss': 0.5046, 'test_loss': 0.4969}"
"{'C': 0.1, 'B': 600, 'learning_rate': 0.215, 'comm_round': 32, 'train_acc': 0.8666, 'test_acc': 0.8766, 'train_loss': 0.4665, 'test_loss': 0.4483}"
"{'C': 0.1, 'B': 600, 'learning_rate': 0.215, 'comm_round': 33, 'train_acc': 0.7937, 'test_acc': 0.8031, 'train_loss': 0.597, 'test_loss': 0.5661}"
"{'C': 0.1, 'B': 600, 'learning_rate': 0.215, 'comm_round': 34, 'train_acc': 0.8263, 'test_acc': 0.8368, 'train_loss': 0.5122, 'test_loss': 0.4884}"
"{'C': 0.1, 'B': 600, 'learning_rate': 0.215, 'comm_round': 35, 'train_acc': 0.8084, 'test_acc': 0.8092, 'train_loss': 0.5502, 'test_loss': 0.5476}"
"{'C': 0.1, 'B': 600, 'learning_rate': 0.215, 'comm_round': 36, 'train_acc': 0.7763, 'test_acc': 0.7825, 'train_loss': 0.585, 'test_loss': 0.5704}"
"{'C': 0.1, 'B': 600, 'learning_rate': 0.215, 'comm_round': 37, 'train_acc': 0.7799, 'test_acc': 0.7886, 'train_loss': 0.6897, 'test_loss': 0.6831}"
"{'C': 0.1, 'B': 600, 'learning_rate': 0.215, 'comm_round': 38, 'train_acc': 0.8016, 'test_acc': 0.8004, 'train_loss': 0.553, 'test_loss': 0.5427}"
"{'C': 0.1, 'B': 600, 'learning_rate': 0.215, 'comm_round': 39, 'train_acc': 0.7613, 'test_acc': 0.7623, 'train_loss': 0.6755, 'test_loss': 0.6835}"
"{'C': 0.1, 'B': 600, 'learning_rate': 0.215, 'comm_round': 40, 'train_acc': 0.8836, 'test_acc': 0.8915, 'train_loss': 0.394, 'test_loss': 0.3755}"
"{'C': 0.1, 'B': 600, 'learning_rate': 0.215, 'comm_round': 41, 'train_acc': 0.8251, 'test_acc': 0.833, 'train_loss': 0.5125, 'test_loss': 0.4913}"
"{'C': 0.1, 'B': 600, 'learning_rate': 0.215, 'comm_round': 42, 'train_acc': 0.846, 'test_acc': 0.8533, 'train_loss': 0.4639, 'test_loss': 0.4441}"
"{'C': 0.1, 'B': 600, 'learning_rate': 0.215, 'comm_round': 43, 'train_acc': 0.8412, 'test_acc': 0.8496, 'train_loss': 0.4773, 'test_loss': 0.4654}"
"{'C': 0.1, 'B': 600, 'learning_rate': 0.215, 'comm_round': 44, 'train_acc': 0.8462, 'test_acc': 0.85, 'train_loss': 0.4455, 'test_loss': 0.4354}"
"{'C': 0.1, 'B': 600, 'learning_rate': 0.215, 'comm_round': 45, 'train_acc': 0.8254, 'test_acc': 0.824, 'train_loss': 0.484, 'test_loss': 0.4783}"
